INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (1, 3, 3, 54, 1, TO_TIMESTAMP('2025-09-01 07:03:51', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (2, 2, 1, 128, 5, TO_TIMESTAMP('2025-09-01 07:22:33', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (3, 1, 1, 102, 1, TO_TIMESTAMP('2025-09-01 07:56:10', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (4, 5, 5, 39, 3, TO_TIMESTAMP('2025-09-01 07:57:31', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (5, 2, 1, 118, 3, TO_TIMESTAMP('2025-09-01 08:18:13', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (6, 2, 1, 62, 3, TO_TIMESTAMP('2025-09-01 08:40:53', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (7, 4, 2, 182, 1, TO_TIMESTAMP('2025-09-01 09:16:27', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (8, 2, 5, 31, 4, TO_TIMESTAMP('2025-09-01 09:17:41', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (9, 4, 4, 149, 2, TO_TIMESTAMP('2025-09-01 09:28:33', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (10, 1, 2, 132, 4, TO_TIMESTAMP('2025-09-01 09:53:34', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (11, 1, 5, 74, 2, TO_TIMESTAMP('2025-09-01 10:05:36', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (12, 5, 4, 149, 5, TO_TIMESTAMP('2025-09-01 10:24:58', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (13, 4, 1, 186, 2, TO_TIMESTAMP('2025-09-01 10:27:05', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (14, 4, 4, 175, 1, TO_TIMESTAMP('2025-09-01 10:44:11', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (15, 4, 4, 125, 2, TO_TIMESTAMP('2025-09-01 10:44:11', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (16, 5, 5, 61, 2, TO_TIMESTAMP('2025-09-01 11:17:31', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (17, 3, 3, 171, 1, TO_TIMESTAMP('2025-09-01 11:43:55', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (18, 1, 4, 81, 2, TO_TIMESTAMP('2025-09-01 12:01:38', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (19, 5, 3, 89, 2, TO_TIMESTAMP('2025-09-01 12:20:41', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (20, 1, 3, 71, 2, TO_TIMESTAMP('2025-09-01 12:23:03', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (21, 1, 5, 173, 3, TO_TIMESTAMP('2025-09-01 12:29:50', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (22, 2, 1, 26, 5, TO_TIMESTAMP('2025-09-01 12:38:36', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (23, 4, 1, 71, 3, TO_TIMESTAMP('2025-09-01 12:53:37', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (24, 2, 4, 200, 1, TO_TIMESTAMP('2025-09-01 13:06:15', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (25, 2, 4, 75, 3, TO_TIMESTAMP('2025-09-01 13:06:15', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (26, 4, 3, 110, 3, TO_TIMESTAMP('2025-09-01 13:24:36', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (27, 2, 1, 156, 1, TO_TIMESTAMP('2025-09-01 13:31:45', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (28, 3, 1, 151, 1, TO_TIMESTAMP('2025-09-01 13:45:15', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (29, 5, 1, 24, 1, TO_TIMESTAMP('2025-09-01 13:51:17', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (30, 2, 1, 95, 1, TO_TIMESTAMP('2025-09-01 14:06:47', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (31, 5, 1, 174, 4, TO_TIMESTAMP('2025-09-01 17:34:47', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (32, 4, 1, 18, 1, TO_TIMESTAMP('2025-09-01 18:11:56', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (33, 4, 1, 3, 5, TO_TIMESTAMP('2025-09-01 18:13:55', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (34, 1, 5, 185, 1, TO_TIMESTAMP('2025-09-01 18:21:54', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (35, 4, 5, 38, 3, TO_TIMESTAMP('2025-09-01 18:25:21', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (36, 3, 1, 47, 1, TO_TIMESTAMP('2025-09-01 18:58:59', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (37, 5, 4, 188, 5, TO_TIMESTAMP('2025-09-01 19:27:26', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (38, 2, 2, 129, 5, TO_TIMESTAMP('2025-09-01 19:42:53', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (39, 4, 4, 132, 1, TO_TIMESTAMP('2025-09-01 19:48:55', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (40, 1, 2, 7, 6, TO_TIMESTAMP('2025-09-01 20:17:33', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (41, 1, 2, 117, 5, TO_TIMESTAMP('2025-09-01 20:45:13', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (42, 3, 2, 157, 5, TO_TIMESTAMP('2025-09-01 20:51:24', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (43, 5, 4, 99, 5, TO_TIMESTAMP('2025-09-01 21:28:24', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (44, 1, 2, 98, 1, TO_TIMESTAMP('2025-09-01 22:37:43', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (45, 2, 4, 74, 1, TO_TIMESTAMP('2025-09-01 23:02:46', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (46, 3, 4, 47, 2, TO_TIMESTAMP('2025-09-01 23:15:24', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (47, 5, 1, 109, 5, TO_TIMESTAMP('2025-09-01 23:18:38', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (48, 1, 3, 175, 2, TO_TIMESTAMP('2025-09-01 23:30:44', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (49, 5, 5, 155, 5, TO_TIMESTAMP('2025-09-01 23:32:09', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (50, 4, 5, 24, 5, TO_TIMESTAMP('2025-09-01 23:52:20', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (51, 4, 3, 6, 3, TO_TIMESTAMP('2025-09-01 23:57:21', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (52, 5, 4, 122, 2, TO_TIMESTAMP('2025-09-02 07:05:30', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (53, 2, 4, 22, 1, TO_TIMESTAMP('2025-09-02 07:23:57', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO store_rev_1 (receipt_id, store_id, customer_id, product_id, qty, order_datetime) VALUES (54, 1, 5, 93, 2, TO_TIMESTAMP('2025-09-02 07:23:57', 'YYYY-MM-DD HH24:MI:SS'));
